x,y,vx,vy,ax,ay
0.000000,0.000000,49.397582,45.264544,-7.387112,-16.569041
0.456003,0.417432,49.329467,45.111662,-7.360028,-16.530726
0.914604,0.836960,49.260589,44.958122,-7.662082,-16.820750
1.369335,1.251551,49.188924,44.801909,-7.633985,-16.781004
1.826625,1.668201,49.119549,44.648088,-7.605699,-16.741156
2.280056,2.079926,49.048409,44.492613,-7.576631,-16.700640
2.736038,2.493705,48.979566,44.339536,-7.548327,-16.660933
3.188180,2.902578,48.908953,44.184798,-7.519559,-16.620863
3.642864,3.313500,48.840638,44.032458,-7.491554,-16.581597
4.093726,3.719535,48.770545,43.878448,-7.463084,-16.541968
4.547122,4.127613,48.702752,43.726837,-7.435374,-16.503138
4.996713,4.530824,48.633176,43.573549,-7.407198,-16.463944
5.448831,4.936072,48.565900,43.422658,-7.379779,-16.425544
5.897161,5.336471,48.496833,43.270082,-7.351893,-16.386779
6.348010,5.738902,48.430069,43.119904,-7.324762,-16.348804
6.795089,6.136504,48.361508,42.968034,-7.297163,-16.310463
7.244678,6.536130,48.295249,42.818561,-7.270315,-16.272906
7.690514,6.930947,48.227188,42.667388,-7.242998,-16.234983
8.138854,7.327782,48.161430,42.518612,-7.216430,-16.197840
8.583457,7.719827,48.093863,42.368129,-7.189393,-16.160329
9.030556,8.113884,48.028601,42.220042,-7.163101,-16.123593
9.473936,8.503170,47.961524,42.070241,-7.136339,-16.086490
9.919802,8.894461,47.896753,41.922837,-7.110319,-16.050156
10.361967,9.281001,47.830160,41.773711,-7.083829,-16.013455
10.806611,9.669539,47.765875,41.626981,-7.058079,-15.977518
11.247571,10.053344,47.699761,41.478522,-7.031857,-15.941213
11.691000,10.439142,47.635956,41.332459,-7.006372,-15.905668
12.130763,10.820226,47.570318,41.184661,-6.980415,-15.869755
12.572988,11.203295,47.506989,41.039258,-6.955192,-15.834596
13.011563,11.581670,47.441820,40.892113,-6.929497,-15.799069
13.452591,11.962023,47.378962,40.747363,-6.904533,-15.764291
13.889987,12.337700,47.314258,40.600863,-6.879096,-15.729146
14.329827,12.715349,47.251866,40.456759,-6.854387,-15.694745
14.766053,13.088341,47.187622,40.310899,-6.829205,-15.659976
15.204714,13.463297,47.125692,40.167434,-6.804748,-15.625946
15.639778,13.833616,47.061904,40.022206,-6.779818,-15.591549
16.077268,14.205892,47.000431,39.879373,-6.755610,-15.557886
16.511178,14.573548,46.937093,39.734770,-6.730928,-15.523855
16.947507,14.943155,46.876072,39.592562,-6.706966,-15.490555
17.380272,15.308162,46.813181,39.448578,-6.682530,-15.456886
17.815446,15.675112,46.752608,39.306989,-6.658810,-15.423943
18.247074,16.037479,46.690159,39.163617,-6.634616,-15.390632
18.681102,16.401783,46.630029,39.022640,-6.611136,-15.358042
19.111602,16.761523,46.568017,38.879873,-6.587182,-15.325084
19.544493,17.123192,46.508327,38.739502,-6.563939,-15.292842
19.973872,17.480317,46.446748,38.597334,-6.540221,-15.260233
20.405633,17.839362,46.387492,38.457562,-6.517211,-15.228335
20.833900,18.193881,46.326342,38.315987,-6.493727,-15.196069
21.264539,18.550314,46.267516,38.176807,-6.470948,-15.164511
21.691701,18.902239,46.206790,38.035819,-6.447694,-15.132585
22.121227,19.256070,46.148391,37.897226,-6.425144,-15.101363
22.547293,19.605412,46.088085,37.756817,-6.402118,-15.069772
22.975713,19.956652,46.030107,37.618805,-6.379792,-15.038881
23.400690,20.303422,45.970218,37.478970,-6.356991,-15.007622
23.828012,20.652082,45.912658,37.341532,-6.334889,-14.977057
24.251907,20.996289,45.853180,37.202265,-6.312310,-14.946125
24.678139,21.342380,45.796033,37.065395,-6.290427,-14.915883
25.100961,21.684036,45.736964,36.926691,-6.268068,-14.885275
25.526110,22.027567,45.680227,36.790383,-6.246402,-14.855352
25.947866,22.366683,45.621561,36.652234,-6.224260,-14.825062
26.371940,22.707665,45.565229,36.516483,-6.202809,-14.795454
26.792638,23.044250,45.506964,36.378885,-6.180881,-14.765480
27.215643,23.382694,45.451033,36.243684,-6.159642,-14.736183
27.635290,23.716758,45.393164,36.106630,-6.137926,-14.706520
28.057235,24.052674,45.337631,35.971974,-6.116896,-14.677530
28.475839,24.384228,45.280154,35.835459,-6.095389,-14.648174
28.896731,24.717625,45.225015,35.701342,-6.074567,-14.619487
29.314298,25.046679,45.167926,35.565360,-6.053267,-14.590436
29.734144,25.377567,45.113177,35.431777,-6.032649,-14.562048
30.150683,25.704131,45.056472,35.296323,-6.011553,-14.533297
30.569490,26.032520,45.002109,35.163268,-5.991137,-14.505205
30.985006,26.356603,44.945785,35.028336,-5.970244,-14.476750
31.402781,26.682504,44.891805,34.895803,-5.950028,-14.448951
31.817283,27.004116,44.835858,34.761388,-5.929334,-14.420789
32.234034,27.327537,44.782256,34.629372,-5.909315,-14.393278
