x,y,vx,vy,ax,ay
122.207427,81.700878,48.312428,20.089192,-0.413554,-9.973499
122.653701,81.885338,48.308572,19.997026,-0.413418,-9.972667
123.102716,82.072035,48.304790,19.904944,-0.413283,-9.971837
123.548919,82.254788,48.300937,19.812794,-0.413148,-9.971006
123.997863,82.439777,48.297157,19.720726,-0.413014,-9.970176
124.443996,82.620824,48.293306,19.628591,-0.412879,-9.969347
124.892869,82.804106,48.289528,19.536539,-0.412746,-9.968519
125.338931,82.983446,48.285681,19.444420,-0.412612,-9.967690
125.787733,83.165021,48.281905,19.352383,-0.412479,-9.966863
126.233725,83.342655,48.278060,19.260279,-0.412346,-9.966036
126.682456,83.522524,48.274287,19.168257,-0.412213,-9.965210
127.128377,83.698452,48.270444,19.076168,-0.412081,-9.964383
127.577038,83.876615,48.266674,18.984162,-0.411949,-9.963559
128.022889,84.050837,48.262833,18.892088,-0.411818,-9.962734
128.471478,84.227294,48.259065,18.800097,-0.411687,-9.961910
128.917259,84.399811,48.255227,18.708039,-0.411556,-9.961086
129.365778,84.574562,48.251462,18.616063,-0.411426,-9.960263
129.811489,84.745374,48.247626,18.524020,-0.411295,-9.959441
130.259937,84.918420,48.243863,18.432059,-0.411166,-9.958619
130.705578,85.087528,48.240030,18.340031,-0.411036,-9.957798
131.153955,85.258868,48.236269,18.248086,-0.410907,-9.956977
131.599526,85.426271,48.232438,18.156073,-0.410778,-9.956157
132.047833,85.595907,48.228680,18.064142,-0.410651,-9.955338
132.493333,85.761606,48.224851,17.972144,-0.410522,-9.954518
132.941570,85.929538,48.221095,17.880229,-0.410395,-9.953700
133.387000,86.093532,48.217269,17.788247,-0.410267,-9.952882
133.835166,86.259760,48.213515,17.696347,-0.410141,-9.952065
134.280526,86.422051,48.209691,17.604379,-0.410014,-9.951248
134.728622,86.586574,48.205940,17.512494,-0.409888,-9.950432
135.173912,86.747162,48.202119,17.420542,-0.409762,-9.949616
135.621937,86.909982,48.198370,17.328672,-0.409637,-9.948801
136.067158,87.068866,48.194550,17.236734,-0.409512,-9.947986
136.515112,87.229983,48.190804,17.144879,-0.409388,-9.947172
136.960263,87.387164,48.186987,17.052957,-0.409263,-9.946359
137.408148,87.546578,48.183242,16.961117,-0.409139,-9.945546
137.853228,87.702057,48.179428,16.869210,-0.409015,-9.944733
138.301042,87.859768,48.175686,16.777385,-0.408893,-9.943921
138.746053,88.013545,48.171873,16.685493,-0.408769,-9.943110
139.193797,88.169553,48.168134,16.593683,-0.408647,-9.942299
139.638739,88.321628,48.164324,16.501805,-0.408525,-9.941489
140.086412,88.475933,48.160586,16.410011,-0.408404,-9.940679
140.531284,88.626307,48.156778,16.318148,-0.408282,-9.939870
140.978888,88.778911,48.153043,16.226368,-0.408162,-9.939061
141.423689,88.927583,48.149237,16.134521,-0.408041,-9.938253
141.871223,89.078485,48.145504,16.042756,-0.407921,-9.937445
142.315955,89.225456,48.141701,15.950923,-0.407801,-9.936638
142.763419,89.374656,48.137970,15.859173,-0.407682,-9.935831
143.208081,89.519926,48.134169,15.767356,-0.407562,-9.935025
143.655475,89.667425,48.130440,15.675621,-0.407444,-9.934220
144.100068,89.810995,48.126641,15.583818,-0.407326,-9.933414
144.547391,89.956793,48.122914,15.492098,-0.407208,-9.932610
144.991915,90.098663,48.119118,15.400309,-0.407090,-9.931805
145.439168,90.242761,48.115393,15.308604,-0.406974,-9.931002
145.883622,90.382930,48.111599,15.216831,-0.406857,-9.930199
